

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190117_GAP_assay7.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/17/2019
Time	2:12:17 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:03, 101 Reads
    Read	Fluorescence Endpoint
	A12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A												SPL1	Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A12
0:00:00	30.0	4576
0:00:03	30.0	4728
0:00:06	30.0	4876
0:00:09	30.0	4994
0:00:12	30.0	5175
0:00:15	30.0	5274
0:00:18	30.0	5449
0:00:21	30.0	5518
0:00:24	30.0	5602
0:00:27	30.0	5688
0:00:30	30.0	5800
0:00:33	30.0	5832
0:00:36	30.0	5899
0:00:39	30.0	5936
0:00:42	30.0	6004
0:00:45	30.0	5995
0:00:48	30.0	6034
0:00:51	30.0	6095
0:00:54	30.0	6174
0:00:57	30.0	6191
0:01:00	30.0	6091
0:01:03	30.0	6143
0:01:06	30.0	6153
0:01:09	30.0	6159
0:01:12	30.0	6190
0:01:15	30.0	6163
0:01:18	30.0	6186
0:01:21	30.0	6153
0:01:24	30.0	6208
0:01:27	30.0	6160
0:01:30	30.0	6154
0:01:33	30.0	6217
0:01:36	30.0	6202
0:01:39	30.0	6186
0:01:42	30.0	6206
0:01:45	30.0	6153
0:01:48	30.0	6216
0:01:51	30.0	6164
0:01:54	30.0	6206
0:01:57	30.0	6173
0:02:00	30.0	6166
0:02:03	30.0	6184
0:02:06	30.0	6216
0:02:09	30.0	6154
0:02:12	30.0	6237
0:02:15	30.0	6181
0:02:18	30.0	6199
0:02:21	30.0	6216
0:02:24	30.0	6254
0:02:27	30.0	6237
0:02:30	30.0	6229
0:02:33	30.0	6206
0:02:36	30.0	6247
0:02:39	30.0	6218
0:02:42	30.0	6224
0:02:45	30.0	6212
0:02:48	30.0	6212
0:02:51	30.0	6217
0:02:54	30.0	6242
0:02:57	30.0	6223
0:03:00	30.0	6220
0:03:03	30.0	6204
0:03:06	30.0	6211
0:03:09	30.0	6191
0:03:12	30.1	6239
0:03:15	30.0	6209
0:03:18	30.0	6210
0:03:21	30.0	6246
0:03:24	30.0	6138
0:03:27	30.0	6198
0:03:30	30.0	6217
0:03:33	30.0	6231
0:03:36	30.0	6193
0:03:39	30.0	6214
0:03:42	30.0	6225
0:03:45	30.0	6204
0:03:48	30.0	6209
0:03:51	30.0	6239
0:03:54	30.0	6213
0:03:57	30.0	6265
0:04:00	30.1	6208
0:04:03	30.0	6219
0:04:06	30.0	6218
0:04:09	30.0	6283
0:04:12	30.0	6213
0:04:15	30.0	6256
0:04:18	30.0	6257
0:04:21	30.0	6267
0:04:24	30.0	6221
0:04:27	30.0	6207
0:04:30	30.0	6264
0:04:33	30.0	6210
0:04:36	30.0	6244
0:04:39	30.0	6273
0:04:42	30.0	6206
0:04:45	30.0	6290
0:04:48	30.0	6279
0:04:51	30.0	6303
0:04:54	30.0	6199
0:04:57	30.0	6263
0:05:00	30.0	6243

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A												3620000.000	Max V [425,457]
												1.000	R-Squared [425,457]
												0:00:11	t at Max V [425,457]
												0:00:02	Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

